标的名称,代码,份额,成本,现价查询链接
药明康德,603259,300,29972,https://gu.qq.com/sh603259/gp
恒生科技ETF大成,159740,62200,40265,https://gu.qq.com/sz159740
港股通信息技术ETF华宝,159131,47600,40008,https://gu.qq.com/sz159131
A500ETF易方达,159361,10000,12060,https://gu.qq.com/sz159361
汇添富中证主要消费ETF,159928,40000,29880,https://gu.qq.com/sz159928
东方财富,300059,1000,20010,https://gu.qq.com/sz300059/gp
黄金ETF,518880,1000,10005,https://gu.qq.com/sh518880
信澳新能源产业股票,1410,13959.13,45888,https://gu.qq.com/jj001410
兴全合宜混合,163417,30676.56,40400,https://gu.qq.com/sz163417
易方达亚洲精选股票,118001,21947.58,21000,https://gu.qq.com/jj118001
工银前沿医疗股票,1717,17089.31,51634,https://gu.qq.com/jj001717
易方达蓝筹精选混合,5827,23991.59,44400,https://gu.qq.com/jj005827